39;Design 39;This design has completed successfully.;0.8148071886329784;-0.3210422433527373;-0.16889102956077248;1.0;0.23666666666666664 m;0.15 m;0.7666666666666666 m
40;Design 40;This design has failed.;;;;;0.23666666666666664 m;0.15 m;1.0 m
41;Design 41;This design has failed.;;;;;0.23666666666666664 m;0.2 m;0.3 m
42;Design 42;This design has completed successfully.;0.8130694009234081;-0.32671218851405975;-0.12905220888002994;1.0;0.23666666666666664 m;0.2 m;0.5333333333333333 m
43;Design 43;This design has completed successfully.;0.8287707511613717;-0.3376231828494577;-0.09602905483082469;1.0;0.23666666666666664 m;0.2 m;0.7666666666666666 m
44;Design 44;This design has failed.;;;;;0.23666666666666664 m;0.2 m;1.0 m
45;Design 45;This design has completed successfully.;0.8589403438527258;-0.34476357480542935;-0.012815741514302051;1.0;0.23666666666666664 m;0.25 m;0.3 m
46;Design 46;This design has completed successfully.;0.8518998889630335;-0.3439684017207365;-0.01441665233179273;1.0;0.23666666666666664 m;0.25 m;0.5333333333333333 m
47;Design 47;This design has completed successfully.;0.8596686151845465;-0.34281769330978146;-0.002164749079818243;1.0;0.23666666666666664 m;0.25 m;0.7666666666666666 m
48;Design 48;This design has failed.;;;;;0.23666666666666664 m;0.25 m;1.0 m
49;Design 49;This design has failed.;;;;;0.29 m;0.1 m;0.3 m
50;Design 50;This design has failed.;;;;;0.29 m;0.1 m;0.5333333333333333 m
51;Design 51;This design has completed successfully.;0.8252169509016345;-0.5088726518076979;-0.148438777511507;1.0;0.29 m;0.1 m;0.7666666666666666 m
52;Design 52;This design has failed.;;;;;0.29 m;0.1 m;1.0 m
53;Design 53;This design has failed.;;;;;0.29 m;0.15 m;0.3 m
54;Design 54;This design has failed.;;;;;0.29 m;0.15 m;0.5333333333333333 m
55;Design 55;This design has completed successfully.;0.8370748006306812;-0.5373357835782239;-0.09203483212767193;1.0;0.29 m;0.15 m;0.7666666666666666 m
56;Design 56;This design has failed.;;;;;0.29 m;0.15 m;1.0 m
57;Design 57;This design has failed.;;;;;0.29 m;0.2 m;0.3 m
58;Design 58;This design has failed.;;;;;0.29 m;0.2 m;0.5333333333333333 m
59;Design 59;This design has completed successfully.;0.8508195351715747;-0.5531078988819018;-0.019531992305284317;1.0;0.29 m;0.2 m;0.7666666666666666 m
60;Design 60;This design has failed.;;;;;0.29 m;0.2 m;1.0 m
61;Design 61;This design has failed.;;;;;0.29 m;0.25 m;0.3 m
62;Design 62;This design has failed.;;;;;0.29 m;0.25 m;0.5333333333333333 m
63;Design 63;This design has completed successfully.;0.8810238503644389;-0.5576397945973552;0.07301114952991554;1.0;0.29 m;0.25 m;0.7666666666666666 m
64;Design 64;This design has failed.;;;;;0.29 m;0.25 m;1.0 m
