Design,Name,State,Drag Coefficient,Lift Coefficient,Moment Coefficient 1,Performance,back_length,front_length,roof_length,2D Geometry,2D Mesh,2D Pressure,2D TKE,2D Vel Mag,Separation Prob.,Separation Prob. color
27,Design 27,This design has completed successfully.,0.8482801473516706,-0.4295926735811665,-0.06921893391712207,1.0,0.18333333333333332,0.2,0.7666666666666666,Design_Study/Design_27/Geometry.png,Design_Study/Design_27/Mesh.png,Design_Study/Design_27/Pres_Body_Sym.png,Design_Study/Design_27/TKE_Body_Sym.png,Design_Study/Design_27/Vel_Mag_Body_Sym.png,39.0,#24ffd3
29,Design 29,This design has completed successfully.,0.8647887284768156,-0.4247312445170693,0.013690528052499104,1.0,0.18333333333333332,0.25,0.3,Design_Study/Design_29/Geometry.png,Design_Study/Design_29/Mesh.png,Design_Study/Design_29/Pres_Body_Sym.png,Design_Study/Design_29/TKE_Body_Sym.png,Design_Study/Design_29/Vel_Mag_Body_Sym.png,33.0,#00d5ff
30,Design 30,This design has completed successfully.,0.8681773096911498,-0.42540777640249294,0.013957222395019916,1.0,0.18333333333333332,0.25,0.5333333333333333,Design_Study/Design_30/Geometry.png,Design_Study/Design_30/Mesh.png,Design_Study/Design_30/Pres_Body_Sym.png,Design_Study/Design_30/TKE_Body_Sym.png,Design_Study/Design_30/Vel_Mag_Body_Sym.png,75.0,#ff9000
31,Design 31,This design has completed successfully.,0.8688252500157749,-0.4246675143742853,0.02441289047347693,1.0,0.18333333333333332,0.25,0.7666666666666666,Design_Study/Design_31/Geometry.png,Design_Study/Design_31/Mesh.png,Design_Study/Design_31/Pres_Body_Sym.png,Design_Study/Design_31/TKE_Body_Sym.png,Design_Study/Design_31/Vel_Mag_Body_Sym.png,71.0,#ffb600
33,Design 33,This design has completed successfully.,0.7707916563812696,-0.2669295070687766,-0.31728276855515497,1.0,0.23666666666666664,0.1,0.3,Design_Study/Design_33/Geometry.png,Design_Study/Design_33/Mesh.png,Design_Study/Design_33/Pres_Body_Sym.png,Design_Study/Design_33/TKE_Body_Sym.png,Design_Study/Design_33/Vel_Mag_Body_Sym.png,80.0,#ff6000
34,Design 34,This design has completed successfully.,0.7842520945389749,-0.25337607217147434,-0.3056784915901249,1.0,0.23666666666666664,0.1,0.5333333333333333,Design_Study/Design_34/Geometry.png,Design_Study/Design_34/Mesh.png,Design_Study/Design_34/Pres_Body_Sym.png,Design_Study/Design_34/TKE_Body_Sym.png,Design_Study/Design_34/Vel_Mag_Body_Sym.png,19.0,#0044ff
35,Design 35,This design has completed successfully.,0.8056961119631408,-0.2954701456903858,-0.22461643408555956,1.0,0.23666666666666664,0.1,0.7666666666666666,Design_Study/Design_35/Geometry.png,Design_Study/Design_35/Mesh.png,Design_Study/Design_35/Pres_Body_Sym.png,Design_Study/Design_35/TKE_Body_Sym.png,Design_Study/Design_35/Vel_Mag_Body_Sym.png,9.0,#0000e9
37,Design 37,This design has completed successfully.,0.7886879318261024,-0.3065109082923916,-0.2295658882966728,1.0,0.23666666666666664,0.15,0.3,Design_Study/Design_37/Geometry.png,Design_Study/Design_37/Mesh.png,Design_Study/Design_37/Pres_Body_Sym.png,Design_Study/Design_37/TKE_Body_Sym.png,Design_Study/Design_37/Vel_Mag_Body_Sym.png,45.0,#56ffa1
38,Design 38,This design has completed successfully.,0.8006463999160995,-0.2985369093806252,-0.223819730991802,1.0,0.23666666666666664,0.15,0.5333333333333333,Design_Study/Design_38/Geometry.png,Design_Study/Design_38/Mesh.png,Design_Study/Design_38/Pres_Body_Sym.png,Design_Study/Design_38/TKE_Body_Sym.png,Design_Study/Design_38/Vel_Mag_Body_Sym.png,11.0,#0000ff
39,Design 39,This design has completed successfully.,0.8148071886329784,-0.3210422433527373,-0.16889102956077248,1.0,0.23666666666666664,0.15,0.7666666666666666,Design_Study/Design_39/Geometry.png,Design_Study/Design_39/Mesh.png,Design_Study/Design_39/Pres_Body_Sym.png,Design_Study/Design_39/TKE_Body_Sym.png,Design_Study/Design_39/Vel_Mag_Body_Sym.png,53.0,#98ff5e
42,Design 42,This design has completed successfully.,0.8130694009234081,-0.3267121885140597,-0.12905220888002994,1.0,0.23666666666666664,0.2,0.5333333333333333,Design_Study/Design_42/Geometry.png,Design_Study/Design_42/Mesh.png,Design_Study/Design_42/Pres_Body_Sym.png,Design_Study/Design_42/TKE_Body_Sym.png,Design_Study/Design_42/Vel_Mag_Body_Sym.png,33.0,#00d5ff
43,Design 43,This design has completed successfully.,0.8287707511613717,-0.3376231828494577,-0.09602905483082468,1.0,0.23666666666666664,0.2,0.7666666666666666,Design_Study/Design_43/Geometry.png,Design_Study/Design_43/Mesh.png,Design_Study/Design_43/Pres_Body_Sym.png,Design_Study/Design_43/TKE_Body_Sym.png,Design_Study/Design_43/Vel_Mag_Body_Sym.png,98.0,#8b0000
45,Design 45,This design has completed successfully.,0.8589403438527258,-0.3447635748054293,-0.012815741514302051,1.0,0.23666666666666664,0.25,0.3,Design_Study/Design_45/Geometry.png,Design_Study/Design_45/Mesh.png,Design_Study/Design_45/Pres_Body_Sym.png,Design_Study/Design_45/TKE_Body_Sym.png,Design_Study/Design_45/Vel_Mag_Body_Sym.png,97.0,#970000
46,Design 46,This design has completed successfully.,0.8518998889630335,-0.3439684017207365,-0.01441665233179273,1.0,0.23666666666666664,0.25,0.5333333333333333,Design_Study/Design_46/Geometry.png,Design_Study/Design_46/Mesh.png,Design_Study/Design_46/Pres_Body_Sym.png,Design_Study/Design_46/TKE_Body_Sym.png,Design_Study/Design_46/Vel_Mag_Body_Sym.png,46.0,#5eff98
47,Design 47,This design has completed successfully.,0.8596686151845465,-0.34281769330978146,-0.002164749079818243,1.0,0.23666666666666664,0.25,0.7666666666666666,Design_Study/Design_47/Geometry.png,Design_Study/Design_47/Mesh.png,Design_Study/Design_47/Pres_Body_Sym.png,Design_Study/Design_47/TKE_Body_Sym.png,Design_Study/Design_47/Vel_Mag_Body_Sym.png,81.0,#ff5700
51,Design 51,This design has completed successfully.,0.8252169509016345,-0.5088726518076979,-0.148438777511507,1.0,0.29,0.1,0.7666666666666666,Design_Study/Design_51/Geometry.png,Design_Study/Design_51/Mesh.png,Design_Study/Design_51/Pres_Body_Sym.png,Design_Study/Design_51/TKE_Body_Sym.png,Design_Study/Design_51/Vel_Mag_Body_Sym.png,18.0,#003aff
55,Design 55,This design has completed successfully.,0.8370748006306812,-0.5373357835782239,-0.09203483212767193,1.0,0.29,0.15,0.7666666666666666,Design_Study/Design_55/Geometry.png,Design_Study/Design_55/Mesh.png,Design_Study/Design_55/Pres_Body_Sym.png,Design_Study/Design_55/TKE_Body_Sym.png,Design_Study/Design_55/Vel_Mag_Body_Sym.png,30.0,#00b6ff
59,Design 59,This design has completed successfully.,0.8508195351715747,-0.5531078988819018,-0.01953199230528432,1.0,0.29,0.2,0.7666666666666666,Design_Study/Design_59/Geometry.png,Design_Study/Design_59/Mesh.png,Design_Study/Design_59/Pres_Body_Sym.png,Design_Study/Design_59/TKE_Body_Sym.png,Design_Study/Design_59/Vel_Mag_Body_Sym.png,52.0,#90ff67
63,Design 63,This design has completed successfully.,0.8810238503644389,-0.5576397945973552,0.07301114952991554,1.0,0.29,0.25,0.7666666666666666,Design_Study/Design_63/Geometry.png,Design_Study/Design_63/Mesh.png,Design_Study/Design_63/Pres_Body_Sym.png,Design_Study/Design_63/TKE_Body_Sym.png,Design_Study/Design_63/Vel_Mag_Body_Sym.png,59.0,#caff2c
